,venue,year,keyword,count,rank,rgb_color,hex_color
206,NeurIPS.cc/2021/Conference,2021,Neural Ode,7,7,"[165, 83, 165]",A553A5
207,NeurIPS.cc/2021/Conference,2021,Normalizing Flow,7,7,"[165, 83, 165]",A553A5
208,NeurIPS.cc/2021/Conference,2021,Ntk,7,7,"[165, 83, 165]",A553A5
209,NeurIPS.cc/2021/Conference,2021,Out Of Distribution,7,7,"[165, 83, 165]",A553A5
210,NeurIPS.cc/2021/Conference,2021,Overparameterization,7,7,"[165, 83, 165]",A553A5
211,NeurIPS.cc/2021/Conference,2021,Physics,7,7,"[165, 83, 165]",A553A5
212,NeurIPS.cc/2021/Conference,2021,Privacy,7,7,"[165, 83, 165]",A553A5
213,NeurIPS.cc/2021/Conference,2021,Program Synthesis,7,7,"[165, 83, 165]",A553A5
214,NeurIPS.cc/2021/Conference,2021,Pruning,7,7,"[165, 83, 165]",A553A5
215,NeurIPS.cc/2021/Conference,2021,Pure Exploration,7,7,"[165, 83, 165]",A553A5
216,NeurIPS.cc/2021/Conference,2021,Safe Reinforcement Learning,7,7,"[165, 83, 165]",A553A5
217,NeurIPS.cc/2021/Conference,2021,Structured Prediction,7,7,"[165, 83, 165]",A553A5
218,NeurIPS.cc/2021/Conference,2021,Symmetry,7,7,"[165, 83, 165]",A553A5
219,NeurIPS.cc/2021/Conference,2021,Variational Autoencoders,7,7,"[165, 83, 165]",A553A5
220,NeurIPS.cc/2021/Conference,2021,3D Object Detection,6,6,"[172, 92, 172]",AC5CAC
221,NeurIPS.cc/2021/Conference,2021,3D Reconstruction,6,6,"[172, 92, 172]",AC5CAC
222,NeurIPS.cc/2021/Conference,2021,Adversarial Attack,6,6,"[172, 92, 172]",AC5CAC
223,NeurIPS.cc/2021/Conference,2021,Backpropagation,6,6,"[172, 92, 172]",AC5CAC
224,NeurIPS.cc/2021/Conference,2021,Boosting,6,6,"[172, 92, 172]",AC5CAC
225,NeurIPS.cc/2021/Conference,2021,Catastrophic Forgetting,6,6,"[172, 92, 172]",AC5CAC
226,NeurIPS.cc/2021/Conference,2021,Complexity,6,6,"[172, 92, 172]",AC5CAC
227,NeurIPS.cc/2021/Conference,2021,Counterfactual,6,6,"[172, 92, 172]",AC5CAC
228,NeurIPS.cc/2021/Conference,2021,Diffusion Model,6,6,"[172, 92, 172]",AC5CAC
229,NeurIPS.cc/2021/Conference,2021,Distributed Training,6,6,"[172, 92, 172]",AC5CAC
230,NeurIPS.cc/2021/Conference,2021,Distributionally Robust Optimization,6,6,"[172, 92, 172]",AC5CAC
231,NeurIPS.cc/2021/Conference,2021,Double Descent,6,6,"[172, 92, 172]",AC5CAC
232,NeurIPS.cc/2021/Conference,2021,Empirical Risk Minimization,6,6,"[172, 92, 172]",AC5CAC
233,NeurIPS.cc/2021/Conference,2021,Evaluation,6,6,"[172, 92, 172]",AC5CAC
234,NeurIPS.cc/2021/Conference,2021,Explanations,6,6,"[172, 92, 172]",AC5CAC
235,NeurIPS.cc/2021/Conference,2021,Game Theory,6,6,"[172, 92, 172]",AC5CAC
236,NeurIPS.cc/2021/Conference,2021,Generalization Bounds,6,6,"[172, 92, 172]",AC5CAC
237,NeurIPS.cc/2021/Conference,2021,Gradient Flow,6,6,"[172, 92, 172]",AC5CAC
238,NeurIPS.cc/2021/Conference,2021,Hierarchical Reinforcement Learning,6,6,"[172, 92, 172]",AC5CAC
239,NeurIPS.cc/2021/Conference,2021,Hyperbolic Space,6,6,"[172, 92, 172]",AC5CAC
240,NeurIPS.cc/2021/Conference,2021,Image Restoration,6,6,"[172, 92, 172]",AC5CAC
241,NeurIPS.cc/2021/Conference,2021,Imagenet,6,6,"[172, 92, 172]",AC5CAC
242,NeurIPS.cc/2021/Conference,2021,Implicit Bias,6,6,"[172, 92, 172]",AC5CAC
243,NeurIPS.cc/2021/Conference,2021,Inference,6,6,"[172, 92, 172]",AC5CAC
244,NeurIPS.cc/2021/Conference,2021,Knowledge Graphs,6,6,"[172, 92, 172]",AC5CAC
245,NeurIPS.cc/2021/Conference,2021,Language Grounding,6,6,"[172, 92, 172]",AC5CAC
246,NeurIPS.cc/2021/Conference,2021,Language Model,6,6,"[172, 92, 172]",AC5CAC
247,NeurIPS.cc/2021/Conference,2021,Latent Variable Model,6,6,"[172, 92, 172]",AC5CAC
248,NeurIPS.cc/2021/Conference,2021,Link Prediction,6,6,"[172, 92, 172]",AC5CAC
249,NeurIPS.cc/2021/Conference,2021,Loss Landscape,6,6,"[172, 92, 172]",AC5CAC
250,NeurIPS.cc/2021/Conference,2021,Markov Decision Process,6,6,"[172, 92, 172]",AC5CAC
251,NeurIPS.cc/2021/Conference,2021,Mcmc,6,6,"[172, 92, 172]",AC5CAC
252,NeurIPS.cc/2021/Conference,2021,Mechanism Design,6,6,"[172, 92, 172]",AC5CAC
253,NeurIPS.cc/2021/Conference,2021,Online,6,6,"[172, 92, 172]",AC5CAC
254,NeurIPS.cc/2021/Conference,2021,Partial Differential Equations,6,6,"[172, 92, 172]",AC5CAC
255,NeurIPS.cc/2021/Conference,2021,Policy Gradient,6,6,"[172, 92, 172]",AC5CAC
256,NeurIPS.cc/2021/Conference,2021,Pose Estimation,6,6,"[172, 92, 172]",AC5CAC
257,NeurIPS.cc/2021/Conference,2021,Quantization,6,6,"[172, 92, 172]",AC5CAC
258,NeurIPS.cc/2021/Conference,2021,Query Complexity,6,6,"[172, 92, 172]",AC5CAC
259,NeurIPS.cc/2021/Conference,2021,Rademacher Complexity,6,6,"[172, 92, 172]",AC5CAC
260,NeurIPS.cc/2021/Conference,2021,Regret Analysis,6,6,"[172, 92, 172]",AC5CAC
261,NeurIPS.cc/2021/Conference,2021,Riemannian Geometry,6,6,"[172, 92, 172]",AC5CAC
262,NeurIPS.cc/2021/Conference,2021,Routing,6,6,"[172, 92, 172]",AC5CAC
263,NeurIPS.cc/2021/Conference,2021,Safety,6,6,"[172, 92, 172]",AC5CAC
264,NeurIPS.cc/2021/Conference,2021,Stochastic Approximation,6,6,"[172, 92, 172]",AC5CAC
265,NeurIPS.cc/2021/Conference,2021,Stochastic Differential Equations,6,6,"[172, 92, 172]",AC5CAC
266,NeurIPS.cc/2021/Conference,2021,Synaptic Plasticity,6,6,"[172, 92, 172]",AC5CAC
267,NeurIPS.cc/2021/Conference,2021,Tensor Decomposition,6,6,"[172, 92, 172]",AC5CAC
268,NeurIPS.cc/2021/Conference,2021,Topology,6,6,"[172, 92, 172]",AC5CAC
269,NeurIPS.cc/2021/Conference,2021,Tree Search,6,6,"[172, 92, 172]",AC5CAC
270,NeurIPS.cc/2021/Conference,2021,Unsupervised Domain Adaptation,6,6,"[172, 92, 172]",AC5CAC
271,NeurIPS.cc/2021/Conference,2021,Visual Question Answering,6,6,"[172, 92, 172]",AC5CAC
272,NeurIPS.cc/2021/Conference,2021,3D,5,5,"[179, 102, 179]",B366B3
273,NeurIPS.cc/2021/Conference,2021,Action Recognition,5,5,"[179, 102, 179]",B366B3
274,NeurIPS.cc/2021/Conference,2021,Adversarial,5,5,"[179, 102, 179]",B366B3
275,NeurIPS.cc/2021/Conference,2021,Adversarial Machine Learning,5,5,"[179, 102, 179]",B366B3
276,NeurIPS.cc/2021/Conference,2021,Approximation,5,5,"[179, 102, 179]",B366B3
277,NeurIPS.cc/2021/Conference,2021,Bert,5,5,"[179, 102, 179]",B366B3
